window_id,pl_fwd_count,pl_bwd_count,pl_len_fwd_total,pl_len_bwd_total,flow_fwd_count,flow_bwd_count,timestamp,label
57017592,[0. 4. 2. 0. 4. 0.],[0. 4. 2. 0. 4. 0.],[  0. 170.  85.   0. 170.   0.],[  0. 470. 235.   0. 470.   0.],[0. 2. 1. 0. 2. 0.],[0. 2. 1. 0. 2. 0.],2024-03-15 18:36:00,dns
57017593,[0. 4. 2. 0. 4. 0.],[0. 4. 2. 0. 4. 0.],[  0. 170.  85.   0. 170.   0.],[  0. 470. 235.   0. 470.   0.],[0. 2. 1. 0. 2. 0.],[0. 2. 1. 0. 2. 0.],2024-03-15 18:36:30,dns
57017594,[0. 4. 2. 0. 4. 0.],[0. 4. 2. 0. 4. 0.],[  0. 170.  85.   0. 170.   0.],[  0. 470. 235.   0. 470.   0.],[0. 2. 1. 0. 2. 0.],[0. 2. 1. 0. 2. 0.],2024-03-15 18:37:00,dns
57017595,[0. 4. 2. 0. 4. 0.],[0. 4. 2. 0. 4. 0.],[  0. 170.  85.   0. 170.   0.],[  0. 470. 235.   0. 470.   0.],[0. 2. 1. 0. 2. 0.],[0. 2. 1. 0. 2. 0.],2024-03-15 18:37:30,dns
57017596,[0. 4. 2. 0. 4. 0.],[0. 4. 2. 0. 4. 0.],[  0. 170.  85.   0. 170.   0.],[  0. 470. 235.   0. 470.   0.],[0. 2. 1. 0. 2. 0.],[0. 2. 1. 0. 2. 0.],2024-03-15 18:38:00,dns
57017597,[0. 4. 2. 0. 2. 0.],[0. 4. 2. 0. 2. 0.],[  0. 170.  85.   0.  85.   0.],[  0. 470. 235.   0. 235.   0.],[0. 2. 1. 0. 1. 0.],[0. 2. 1. 0. 1. 0.],2024-03-15 18:38:30,dns
57017598,[0. 4. 2. 0. 0. 0.],[0. 4. 2. 0. 0. 0.],[  0. 170.  85.   0.   0.   0.],[  0. 470. 235.   0.   0.   0.],[0. 2. 1. 0. 0. 0.],[0. 2. 1. 0. 0. 0.],2024-03-15 18:39:00,dns
57017648,[0. 2. 4. 2. 2. 0.],[0. 2. 4. 2. 2. 0.],[  0.  85. 148.  85.  85.   0.],[  0. 235. 448. 235. 235.   0.],[0. 1. 2. 1. 1. 0.],[0. 1. 2. 1. 1. 0.],2024-03-15 19:04:00,dns
57017649,[0. 0. 4. 2. 2. 0.],[0. 0. 4. 2. 2. 0.],[  0.   0. 170.  85.  85.   0.],[  0.   0. 470. 235. 235.   0.],[0. 0. 2. 1. 1. 0.],[0. 0. 2. 1. 1. 0.],2024-03-15 19:04:30,dns
57017650,[0. 0. 4. 2. 2. 0.],[0. 0. 4. 2. 2. 0.],[  0.   0. 170.  85.  85.   0.],[  0.   0. 470. 235. 235.   0.],[0. 0. 2. 1. 1. 0.],[0. 0. 2. 1. 1. 0.],2024-03-15 19:05:00,dns
57017462,[6. 2. 4. 0. 0. 0.],[6. 2. 4. 0. 0. 0.],[233.  85. 170.   0.   0.   0.],[683. 235. 470.   0.   0.   0.],[3. 1. 2. 0. 0. 0.],[3. 1. 2. 0. 0. 0.],2024-03-15 17:31:00,dns
57017463,[4. 2. 4. 0. 0. 0.],[4. 2. 4. 0. 0. 0.],[170.  85. 170.   0.   0.   0.],[470. 235. 470.   0.   0.   0.],[2. 1. 2. 0. 0. 0.],[2. 1. 2. 0. 0. 0.],2024-03-15 17:31:30,dns
57017464,[4. 2. 4. 0. 0. 0.],[4. 2. 4. 0. 0. 0.],[170.  85. 170.   0.   0.   0.],[470. 235. 470.   0.   0.   0.],[2. 1. 2. 0. 0. 0.],[2. 1. 2. 0. 0. 0.],2024-03-15 17:32:00,dns
57017465,[4. 2. 4. 0. 0. 0.],[4. 2. 4. 0. 0. 0.],[170.  85. 170.   0.   0.   0.],[470. 235. 470.   0.   0.   0.],[2. 1. 2. 0. 0. 0.],[2. 1. 2. 0. 0. 0.],2024-03-15 17:32:30,dns
57017466,[4. 2. 4. 0. 0. 0.],[4. 2. 4. 0. 0. 0.],[170.  85. 170.   0.   0.   0.],[470. 235. 470.   0.   0.   0.],[2. 1. 2. 0. 0. 0.],[2. 1. 2. 0. 0. 0.],2024-03-15 17:33:00,dns
57017693,[0. 0. 6. 0. 4. 4.],[0. 0. 6. 0. 4. 4.],[  0.   0. 255.   0. 148. 170.],[  0.   0. 705.   0. 448. 470.],[0. 0. 3. 0. 2. 2.],[0. 0. 3. 0. 2. 2.],2024-03-15 19:26:30,dns
57017694,[0. 0. 6. 0. 2. 4.],[0. 0. 6. 0. 2. 4.],[  0.   0. 255.   0.  85. 170.],[  0.   0. 705.   0. 235. 470.],[0. 0. 3. 0. 1. 2.],[0. 0. 3. 0. 1. 2.],2024-03-15 19:27:00,dns
57017695,[0. 0. 6. 0. 2. 4.],[0. 0. 6. 0. 2. 4.],[  0.   0. 255.   0.  85. 170.],[  0.   0. 705.   0. 235. 470.],[0. 0. 3. 0. 1. 2.],[0. 0. 3. 0. 1. 2.],2024-03-15 19:27:30,dns
57017696,[0. 0. 6. 0. 2. 4.],[0. 0. 6. 0. 2. 4.],[  0.   0. 255.   0.  85. 170.],[  0.   0. 705.   0. 235. 470.],[0. 0. 3. 0. 1. 2.],[0. 0. 3. 0. 1. 2.],2024-03-15 19:28:00,dns
57017697,[0. 0. 6. 0. 2. 4.],[0. 0. 6. 0. 2. 4.],[  0.   0. 255.   0.  85. 170.],[  0.   0. 705.   0. 235. 470.],[0. 0. 3. 0. 1. 2.],[0. 0. 3. 0. 1. 2.],2024-03-15 19:28:30,dns
57017698,[0. 0. 6. 0. 2. 4.],[0. 0. 6. 0. 2. 4.],[  0.   0. 255.   0.  85. 170.],[  0.   0. 705.   0. 235. 470.],[0. 0. 3. 0. 1. 2.],[0. 0. 3. 0. 1. 2.],2024-03-15 19:29:00,dns
57017699,[0. 0. 6. 0. 2. 4.],[0. 0. 6. 0. 2. 4.],[  0.   0. 255.   0.  85. 170.],[  0.   0. 705.   0. 235. 470.],[0. 0. 3. 0. 1. 2.],[0. 0. 3. 0. 1. 2.],2024-03-15 19:29:30,dns
57017610,[0. 0. 2. 0. 2. 2.],[0. 0. 2. 0. 2. 2.],[ 0.  0. 85.  0. 85. 63.],[  0.   0. 235.   0. 235. 213.],[0. 0. 1. 0. 1. 1.],[0. 0. 1. 0. 1. 1.],2024-03-15 18:45:00,dns
57017611,[0. 4. 2. 0. 2. 0.],[0. 4. 2. 0. 2. 0.],[  0. 170.  85.   0.  85.   0.],[  0. 470. 235.   0. 235.   0.],[0. 2. 1. 0. 1. 0.],[0. 2. 1. 0. 1. 0.],2024-03-15 18:45:30,dns
57017612,[0. 4. 2. 0. 2. 0.],[0. 4. 2. 0. 2. 0.],[  0. 170.  85.   0.  85.   0.],[  0. 470. 235.   0. 235.   0.],[0. 2. 1. 0. 1. 0.],[0. 2. 1. 0. 1. 0.],2024-03-15 18:46:00,dns
57017613,[0. 4. 2. 0. 0. 0.],[0. 4. 2. 0. 0. 0.],[  0. 170.  85.   0.   0.   0.],[  0. 470. 235.   0.   0.   0.],[0. 2. 1. 0. 0. 0.],[0. 2. 1. 0. 0. 0.],2024-03-15 18:46:30,dns
57017689,[0. 0. 0. 0. 0. 4.],[0. 0. 0. 0. 0. 4.],[  0.   0.   0.   0.   0. 170.],[  0.   0.   0.   0.   0. 470.],[0. 0. 0. 0. 0. 2.],[0. 0. 0. 0. 0. 2.],2024-03-15 19:24:30,dns
57017690,[0. 0. 8. 0. 2. 4.],[0. 0. 8. 0. 2. 4.],[  0.   0. 318.   0.  85. 170.],[  0.   0. 918.   0. 235. 470.],[0. 0. 4. 0. 1. 2.],[0. 0. 4. 0. 1. 2.],2024-03-15 19:25:00,dns
57017691,[0. 0. 6. 0. 2. 4.],[0. 0. 6. 0. 2. 4.],[  0.   0. 255.   0.  85. 170.],[  0.   0. 705.   0. 235. 470.],[0. 0. 3. 0. 1. 2.],[0. 0. 3. 0. 1. 2.],2024-03-15 19:25:30,dns
57017692,[0. 0. 6. 0. 2. 4.],[0. 0. 6. 0. 2. 4.],[  0.   0. 255.   0.  85. 170.],[  0.   0. 705.   0. 235. 470.],[0. 0. 3. 0. 1. 2.],[0. 0. 3. 0. 1. 2.],2024-03-15 19:26:00,dns
57017542,[0. 2. 2. 2. 2. 0.],[0. 2. 2. 2. 2. 0.],[ 0. 85. 85. 85. 63.  0.],[  0. 235. 235. 235. 213.   0.],[0. 1. 1. 1. 1. 0.],[0. 1. 1. 1. 1. 0.],2024-03-15 18:11:00,dns
57017543,[0. 2. 2. 2. 0. 0.],[0. 2. 2. 2. 0. 0.],[ 0. 85. 85. 85.  0.  0.],[  0. 235. 235. 235.   0.   0.],[0. 1. 1. 1. 0. 0.],[0. 1. 1. 1. 0. 0.],2024-03-15 18:11:30,dns
57017544,[0. 2. 2. 2. 0. 0.],[0. 2. 2. 2. 0. 0.],[ 0. 85. 85. 85.  0.  0.],[  0. 235. 235. 235.   0.   0.],[0. 1. 1. 1. 0. 0.],[0. 1. 1. 1. 0. 0.],2024-03-15 18:12:00,dns
57017545,[0. 2. 2. 2. 0. 0.],[0. 2. 2. 2. 0. 0.],[ 0. 85. 85. 85.  0.  0.],[  0. 235. 235. 235.   0.   0.],[0. 1. 1. 1. 0. 0.],[0. 1. 1. 1. 0. 0.],2024-03-15 18:12:30,dns
57017546,[0. 2. 2. 2. 0. 0.],[0. 2. 2. 2. 0. 0.],[ 0. 85. 85. 85.  0.  0.],[  0. 235. 235. 235.   0.   0.],[0. 1. 1. 1. 0. 0.],[0. 1. 1. 1. 0. 0.],2024-03-15 18:13:00,dns
57017547,[0. 2. 2. 0. 0. 0.],[0. 2. 2. 0. 0. 0.],[ 0. 85. 85.  0.  0.  0.],[  0. 235. 235.   0.   0.   0.],[0. 1. 1. 0. 0. 0.],[0. 1. 1. 0. 0. 0.],2024-03-15 18:13:30,dns
