window_id,pl_fwd_count,pl_bwd_count,pl_len_fwd_total,pl_len_bwd_total,flow_fwd_count,flow_bwd_count,timestamp,label
57740283,[3750. 3750. 3750. 3750. 3750. 3750.],[3751. 3750. 3750. 3750. 3750. 3750.],[108750. 108750. 108750. 108750. 108750. 108750.],[1910906. 1910033. 1909887. 1910069. 1910097. 1910064.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],2024-11-21 17:01:30,dns_attack
57740284,[3750. 3751. 3750. 3750. 3750. 3750.],[3750. 3750. 3751. 3750. 3750. 3750.],[108750. 108779. 108750. 108750. 108750. 108750.],[1909992. 1910202. 1910512. 1910340. 1910333. 1910027.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],2024-11-21 17:02:00,dns_attack
57740285,[80.  0.  0.  0.  0.  0.],[80.  0.  0.  0.  0.  0.],[2320.    0.    0.    0.    0.    0.],[40770.     0.     0.     0.     0.     0.],[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],2024-11-21 17:02:30,dns_attack
57743363,[   0.  242. 1491. 4911. 3285. 2981.],[   0.  242. 1491. 4911. 3285. 2981.],[     0.  12288.  75716. 249318. 166704. 151272.],[     0.  23178. 142721. 470133. 314529. 285417.],[   0.  238. 1428. 4641. 3114. 2855.],[   0.  238. 1428. 4641. 3114. 2855.],2024-11-22 18:41:30,dns_attack
57743364,[3386. 3985. 3104. 3873. 2873. 2385.],[3386. 3985. 3104. 3873. 2873. 2385.],[171784. 202171. 157441. 196545. 145770. 121087.],[324154. 381496. 297121. 370740. 275055. 228412.],[3224. 3811. 2948. 3682. 2759. 2317.],[3224. 3811. 2948. 3682. 2759. 2317.],2024-11-22 18:42:00,dns_attack
57743365,[2887. 3866. 3670. 3279. 3625. 2997.],[2887. 3866. 3670. 3279. 3625. 2997.],[146480. 196254. 186294. 166380. 183947. 152052.],[276395. 370224. 351354. 313935. 347072. 286917.],[2775. 3667. 3524. 3156. 3474. 2895.],[2775. 3667. 3524. 3156. 3474. 2895.],2024-11-22 18:42:30,dns_attack
57743366,[4466. 3344. 2541. 2838. 2965. 3070.],[4466. 3344. 2541. 2838. 2965. 3070.],[226700. 169716. 128958. 144026. 150494. 155779.],[427670. 320196. 243303. 271736. 283919. 293929.],[4255. 3220. 2489. 2739. 2862. 2980.],[4255. 3220. 2489. 2739. 2862. 2980.],2024-11-22 18:43:00,dns_attack
57743367,[2972. 3237. 2914. 3102. 2671. 4322.],[2972. 3237. 2914. 3102. 2671. 4322.],[150815. 164347. 148032. 157401. 135560. 219448.],[284555. 310012. 279072. 296991. 255755. 413848.],[2882. 3120. 2811. 2991. 2591. 4143.],[2882. 3120. 2811. 2991. 2591. 4143.],2024-11-22 18:43:30,dns_attack
57743368,[4220. 2500. 3596. 3660. 2723. 2615.],[4220. 2500. 3596. 3660. 2723. 2615.],[214135. 126919. 182402. 185673. 138191. 132716.],[403945. 239419. 344222. 350373. 260726. 250391.],[4024. 2450. 3462. 3535. 2643. 2547.],[4024. 2450. 3462. 3535. 2643. 2547.],2024-11-22 18:44:00,dns_attack
57743369,[2165. 3058. 3136. 2810. 3652. 3010.],[2164. 3043. 3121. 2826. 3651. 3008.],[109872. 155016. 159040. 142632. 185340. 152893.],[207209. 291177. 298872. 269820. 349533. 288063.],[2117. 2978. 3034. 2759. 3521. 2911.],[2117. 2978. 3034. 2759. 3521. 2911.],2024-11-22 18:44:30,dns_attack
